ID,티어,능력명,설명,적용 옵션,가산 수치(%),부가설명,선행능력(ID),7,2,1
0,1,불의 축복(약),약공격은 적에게 화상 효과를 입힌다.,화상 피해,8/10/12,화상 : 적이 5초동안 초당 피해를 입는다. 최대 5회까지 중첩 가능하다.,,,,
1,1,불의 축복(강),강공격은 적에게 화상 효과를 입힌다.,화상 피해,12/14/16,화상 : 적이 5초동안 초당 피해를 입는다. 최대 5회까지 중첩 가능하다.,,,,
2,1,불의 축복(돌진),돌진 시 부딪히는 적에게 화상 효과를 입힌다.,화상 피해,10/12/14,화상 : 적이 5초동안 초당 피해를 입는다. 최대 5회까지 중첩 가능하다.,,,,
3,1,등가 교환(불),최대 체력이 10% 감소한다. 이후 모든 피해가 증가한다.,모든 피해,30/40/50,,,,,
4,1,화염 침식,화상이 5회 중첩될 경우 적에게 파열 효과를 입힌다.,파열 피해,30/40/50,파열 : 화상이 5회 중첩된 적은 3초동안 추가 피해를 입는다.,0/1/2,,,
5,1,불의 가호,전투 시작 후 10초 동안 주변 적에게 초당 피해를 입힌다.,주변 피해,14/18/22,,,,,
6,1,화염 지대 생성,이동 속도가 증가하며 돌진 후 2초 동안 적에게 5의 화상 효과를 입히는 화염 지대를 생성한다.,이동 속도,10/12/14,화상 : 적이 5초동안 초당 피해를 입는다. 최대 5회까지 중첩 가능하다.,,,,
7,2,정령 결속 강화(불),모든 공격 피해가 증가하며 화상과 파열 효과가 점화 효과로 강화된다.,모든 피해,40/60/80,점화 : 적이 3초동안 초당 피해를 입으며 3초 후 큰 피해를 입는다.,0/1/2/4,,,
8,2,업화 갑옷,적에게 공격받을 시 적에게 점화 효과를 입힌다.,점화 피해,10/12/14,점화 : 적이 3초동안 초당 피해를 입으며 3초 후 큰 피해를 입는다.,7,,,
9,3,화염 처형,점화 효과를 입은 적의 체력이 25% 이하인 경우 적을 바로 처치하며 주변 적에게 점화 효과를 입힌다.,-,-,점화 : 적이 3초동안 초당 피해를 입으며 3초 후 큰 피해를 입는다.,7/8,,,
